cleaned_up_drug	class_umls
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
Cabazitaxel	Tubulin Interactions|Microtubule Inhibitor|ANTINEOPLASTIC,OTHER|Taxanes
CabazitaxelXRP6258	
OTS167PO	
BMS-641988	
BMS-641988	
BMS-641988	
BMS-641988	
BMS-641988	
BMS-641988	
BMS-641988	
ModraDoc006/r	
SHR-1501	
SHR-1316	
bengaldisodium	
SAR408701	
SAR408701	
SAR408701	
SAR408701	
SAR428926	
CA-4948	
TJ004309	
HM95573cobimetinib	
autologous	
Cetrelimab	
Cetrelimab	
PCA062	
PDR001	
PDR001	
PDR001	
PDR001	
tivozanibAV-951capecitabineXeloda®	
OMP-52M51	
OMP-52M51	
OMP-52M51	
brontictuzumab	
brontictuzumab	
trifluridine/tipiracil	Unknown Cellular or Molecular Interaction|ANTINEOPLASTIC,OTHER|Thymidylate Synthetase Inhibitors|Nucleoside Metabolic Inhibitor|Antivirals|Nucleoside Analog Antiviral|Thymidine Phosphorylase Inhibitor|Nucleic Acid Synthesis Inhibitors|Thymidine Phosphorylase Inhibitors
DCC-3014	
FPA144	
NBM-BMXsoftgel	
NBM-BMXsoftgel	
NPI-0052	
NPI-0052	
DPX-Survivac	
Relatlimab	
Prexasertib	
Prexasertib	
SHR2554	
Promitil	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Oleclumab	
Elacestrant	
Elacestrant	
Elacestrant	
ADI-PEG	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
KRN330	
MGCD265	
MGCD265	
MGCD265	
MGCD265	
MGCD265	
DM-CHOC-PEN	
U3-1402	
BMS-641988	
BMS-641988	
BMS-641988	
BMS-641988	
BMS-641988	
BMS-641988	
BMS-641988	
P1446A-05	
ADXS31-142	
ADXS31-142PembrolizumabMK-3475	
REGN2810	
REGN2810	
REGN2810	
Platinum-doubletchemotherapy	
DS-6051b	
Anlotinib	
Anlotinib	
Anlotinib	
ES101	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
GSK3359609	
GSK3174998	
GSK3174998	
GSK3174998	
GSK3174998	
Docetaxelmg/m^2	
Pemetrexedmg/m^2Carboplatinmg/mL	
Paclitaxelmg/m^2Carboplatinmg/mL	
Gemcitabinemg/m^2Carboplatinmg/mL	
Fluorouracilmg/m^2carboplatincisplatin	
PVX-410	
HSP990	
HSP990	
HSP990	
EP-100	
EP-100	
EP-100	
TSR-022	
TSR-042anti-PD-1antibody	
TSR-033anti-LAG-3antibody	
Dalotuzumabmg/kg	
Dalotuzumabmg/kg	
XL184	
XL184	
XL184	
XL184	
XL184	
XL184	
KTN3379	
TAK-659	
TAK-659	
BPX-501	
rimiducid	
CopanlisibBAY80-6946	
MLN0264	
pbi-shRNASTMN1	
CetuximabIrinotecan	
Chlorogenic	
sunitinibmalate	
ALT-801	
ALT-801	
ALT-801	
ALT-801	
TSR-042	
ZD4054Zibotentan	
BBI608	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
SAR302503TG101348	
Panolosetron	
OSI-930	
OSI-930	
OSI-930	
OSI-930	
IBI188	
IBI188Rituximab	
L19TNFa	
MitoxantroneEnGeneIC	
LY2228820	
LY2228820	
IBI188	
LY2875358	
LY2875358	
LY2875358erlotinib	
LY2875358	
LY2875358	
LY2875358trametinib	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
sunitinibmalate	
AGS15E	
E7386	
E7386	
E7386	
E7386	
NanoplatinNC-6004Gemcitabine	
CP-675,206gemcitabine	
DS-1205c	
Osimertinib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Cytochrome P450 3A Inhibitors|Breast Cancer Resistance Protein Inhibitors|Cytochrome P450 1A2 Inducers|Kinase Inhibitor|Cytochrome P450 3A4 Inducers|Kinase Inhibitors
PAN-301-1	
TRX-818	
AZD4635	
LY2835219	
LY2835219	
M3814	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
bevacizumabAvastin	
capecitabineXeloda	
erlotinibTarceva	
VX15/2503	
VX15/2503	
VX15/2503	
TalimogeneLaherparepvec	
binimetinib	Protein kinase inhibitors|Protein Kinase Inhibitors|ANTINEOPLASTIC,OTHER
ABT-767	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
TopotecanLiposomes	
imexon	
SAR125844	
SAR125844	
SAR125844	
SAR125844	
cediranibRECENTINAZD2171	
EGEN-001phIL-12-005/PPC	
capecitabineXeloda	
Urelumab	
DFP-14927	
PCUR	
Sevacizumab	
OSI-930	
OSI-930	
OSI-930	
OSI-930	
MABp1	
CabazitaxelXRP6258	
methyl	
VCN-01	
Abraxane®	
MLN2704antibodyMLN591	
ZL-2306niraparib	
SAR245409	
SAR245409	
SAR245409	
REOLYSIN®	
MerckPembrolizumab	
GS-9820	
LY2835219	
LY2835219	
IniparibSAR240550-BSI-201	
Placlitaxel	
liposomaldoxorubicin	
U3-1565	
selumetinib	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
Lirilumab	
IDH305	
IDH305	
PM02734	
PM02734	
dulanermin	
Tanibirumab	
4SC-202	
4SC-202	
4SC-202	
4SC-202	
4SC-202	
4SC-202	
CA-18C3	
7-t-butyldimethylsilyl-10-hydroxycamptothecin	
MEDI0680AMP-514	
afliberceptAVE0005	
P501-AS15vaccine	
MK-1697	
PAC-1	
PAC-1	
AZD9150Durvalumab	
SAR260301	
SAR260301	
SAR260301	
SAR260301	
GT0918	
GT0918	
GT0918	
MSC1936369Bpimasertib	
SAR245409PI3KmTORinhibitor	
CabazitaxelXRP6258	
AUY922	
AUY922	
AUY922	
AUY922	
AUY922	
ONC1-0013B	
PF-00299804	
AZD1775	
AZD1775	
NKR-2	
OPB-111077	
Intuvaxilixadencel	
CM082	
LY3022855	
LY3022855	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
SAR566658	
SAR566658	
MK2461	
MK2461	
MK2461	
MK2461	
MK2461	
MK2461	
DS-7423	
Comparator	
SLC-0111	
INCB040093	
INCB040093itacitinib	
AZD2014	
AZD2014	
AZD2014	
AZD2014	
KHK2455	
CabazitaxelXRP6258	
Tirabrutinib	
Tirabrutinib	
Tirabrutinib	
Entospletinib	
CYP1A2caffeine	
CYP2C19omeprazole	
CYP3Amidazolam	
Kytrilgranisetron	
Wee-1kinaseinhibitorAZD1775	
Doxorubicinhydrochlorideliposome	
Tivantinib	
M200VolociximabCarboplatinPaclitaxelBevacizumab	
defactinib	
AVE8062	
AVE8062	
AVE8062	
OMP-305B83	
OMP-305B83	
OMP-305B83	
OMP-305B83	
OMP-305B83	
capecitabineXeloda	
AZD1208	
AZD1208	
AZD1208	
AZD1208	
AZD2014	
AZD2014	
AZD2014	
AZD2014	
AZD2014	
AZD2014	
AZD2014	
AZD2014	
TrastuzumabemtansineKadcylamg/kg	
TrastuzumabemtansineKadcylamg/kg	
TRC105	
KPT-330	
KPT-330	
ANX-514	
Foxy-5	
Foxy-5	
Foxy-5	
Foxy-5	
RDEA119	
RDEA119	
ENMD-2076	
ENMD-2076	
ENMD-2076	
ENMD-2076	
ENMD-2076	
ENMD-2076	
Promitil	
PF-04449913	
PF-04449913	
PF-04449913	
Ipatasertib	
SGN-LIV1A	
ChemotherapyGemcitabineCarboplatinEribulin	
RO6874281	
RO6874281	
RO6874281	
RO6874281	
Selicrelumab	
Selicrelumab	
NKR-2	
SB-485232interleukinliposomaldoxorubicin	
IntratumoralPolyICLC	
IntratumoralPolyICLC	
IntramuscularPolyICLC	
TAK-385	
TAK-385	
Foxy-5	
Foxy-5	
Foxy-5	
Foxy-5	
Demcizumab	
ErlotinibTarcevaOSI-774	
BevacizumabAvastinVEGF	
Brivanibalaninate	
BN80927	
BN80927	
BN80927	
MSC2156119J	
-SGMIBAnti-HER2VHH1	
PF-03446962	
MEDI4276	
MASCT-I	
pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
DMOT4039A	
tislelizumab	
tislelizumab	
pamiparib	
pamiparib	
JNJ-61186372	
MLN0128	
MLN0128	
MLN0128	
MLN0128	
MLN0128	
MLN0128	
MM-121	
XmAb18087	
XmAb18087	
BGB-3111Obinutuzumab	
ASP5878	
ASP5878	
ASP5878	
Lirilumab	
Trastuzumabemtansine	
NJH395	
Margetuximabpembrolizumab	
afliberceptAVE0005	
Chiauranib	
OMBRABULINAVE8062	
OmbrabulinAVE8062	
Sym013	
BBI608	
BBI503	
NKTR-214	
alisertib	
Cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
Cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
CNF2024	
CNF2024trastuzumab	
Eribulinmesylate	
IPH5401Durvalumab	
nesvacumabREGN910/SAR307746	
aflibercept	Other antineoplastic agents|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Inhibitors|OPHTHALMICS,OTHER|Vascular Endothelial Growth Factor Inhibitor|Antineovascularisation agents
afliberceptAVE0005	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
OmbrabulinAVE8062	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
ombrabulinAVE8062	
Samarium-153	
AndrogenBicalutamide	
androgenGoserelin	
Itacitinib	
Osimertinib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Cytochrome P450 3A Inhibitors|Breast Cancer Resistance Protein Inhibitors|Cytochrome P450 1A2 Inducers|Kinase Inhibitor|Cytochrome P450 3A4 Inducers|Kinase Inhibitors
BPX-101	
AP1903	
AP1903	
AP1903	
BEL-X-HG	
E7050	
E7050	
RegorafenibBAY73-4506	
VincristineCellcristin®	
IrinotecanIrinotecanpharm®	
capecitabineimatinibmesylate	
SAR125844	
SAR125844	
SAR125844	
SAR125844	
Oraxol	
CalciumAmor	
mg/m2CBDCAAUC5mg/mL*min	
BIBFmg/m2CBDCAAUC5mg/mL*min	
MLN2480	
MLN0128	
MLN0128	
MLN0128	
Alisertib	
ADU-S100	
ADU-S100	
ADU-S100	
M200VolociximabCarboplatinPaclitaxel	
Genexol-PMCarboplatin	
Genexol-PMCarboplatin	
Genexol-PMCarboplatin	
CS-1008antibody	
mRNA-2752	
mRNA-2752durvalumab	
mRNA-2752tremelimumab	
AMG820pembrolizumab	
FP-1039	
FP-1039	
FP-1039	
CapecitabineTarceva	
IMP4297	
etoposide/cisplatin	
NexavarSorafenibBAY43-9006	
IntravenousMK-3475/Intravesical	
GX-188E	
Trimix	
Trimix	
Trimix	
BIND-014	
BIND-014	
BIND-014	
LYC-55716	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
XMT-1001	
XMT-1001	
TQB2450	
Anlotinib	
Anlotinib	
Anlotinib	
RRx-001	
RRx-001	
RRx-001	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
LiposomalDoxorubicin	
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
Ferumoxytol	IRON|Parenteral Iron Replacement|Electrolyte Activity
Ferumoxytol	IRON|Parenteral Iron Replacement|Electrolyte Activity
MM-398	
SU014813	
SU014813	
ridaforolimus	
ridaforolimus	
RO7051790	
HM30181AKIrinotecan	
TPX-0022	
SHR9146+SHR-1210	
SHR9146+SHR-1210+Apatinib	
F0002-ADC	
DS-1205c	
IMC-TR1	
HM30181AKIrinotecan	
CMP-001	
imatinibmesylate	
CBP501Cisplatin	
rHuPH20	
rHuPH20	
SPARC-08-038	
Ref-08-038	
RAD001everolimus	
PTK787vatalanib	
HMPL-523	
Sulfatinib	
LY2334737	
LY2334737	
LY2334737	
LY2334737	
Tirabrutinib	
Tirabrutinib	
Tirabrutinib	
MDV3100	
MDV3100	
MDV3100	
MDV3100	
Pazopanibpaclitaxel	
rovalpituzumabtesirine	
Docetaxel-PNP	
ODM-201	
ODM-201	
ODM-201	
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
CCI-779temsirolimus	
XL765SAR245409	
APG-1252	
ImetelstatSodiumGRN163L	
Comparator	
enoblituzumabipilimumab	
ImatinibPTK/ZK222584	
LDE225	
LDE225	
BIIB022PaclitaxelCarboplatin	
XL147SAR245408	
ACY-241	
TAK-228	
isomaltoside	
isomaltoside	
BGB-3111	
GM-CT-01	
OCPMImmunotherapeuticVaccine	
AS703569	
AS703569	
AS703569	
APG-1252	
MM-121SAR256212	
Anti-OX40	
CV301	
TKI258	
TKI258	
Talimogenelaherparepvec	
TAK-733	
TAK-733	
TAK-733	
TAK-733	
alpelisibBYL719	
buparlisibBKM120	
PTK787/ZK222584Bevacizumab	
iNeo-Vac-P01	
BMS-690514	
BMS-690514	
BMS-690514	
AGS-8M4	
AC0010MA	
AC0010MA	
LY3039478	
LY3039478	
LY3039478	
HS-10241	
EMB-01	
PF-06952229	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
Enadenotucirev	
PRS-343	
PorfimerSodium	
AVX701	
SF1126	
SF1126	
SF1126	
SF1126	
SHR3162	
PGV001	
NBF-006	
famitinibdocetaxel	
famitinibdocetaxel	
famitinibdocetaxel	
Oprozomib	
MEDI6469	
MEDI6469	
TSR-042	
AZD7648	
liposomaldoxorubicin	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
BMK120	
BYL719	
BYL719	
BYL719	
BYL719	
ridaforolimus	
ridaforolimus	
Perifosine	
Perifosine	
SunitinibMalate	
AB0024	
AB0024	
AB0024	
Sym022	
Sym022	
Sym022	
Sym022	
Sym023	
Intra-lesionalGM-CSF	
GRASPA	
TAK700	
TAK700	
Tivantinib	
Tivantinib	
Tivantinib	
RO5323441	
ridaforolimus	
ridaforolimus	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
RAD001everolimusCisplatin	
PRS-343Atezolizumab	
Anti-MacrophageInhibitoryAnti-MIFAntibody	
FOLIRI	
FOLIRIE7820	
FOLFIRIBevacizumab	
lurbinectedinPM01183	
DMUC5754A	
DMUC5754A	
DMUC5754A	
DMUC5754A	
Ad-RTS-hIL-12	
veledimex	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
CC-115	
CC-115	
CC-115	
RAD001docetaxelcisplatin	
BYL719	
BYL719	
BYL719	
BYL719	
LJM716	
123-I-MIP-1072	
123-I-MIP-1095	
INCB086550	
OratecanCapecitabine	
Cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
Cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
13-cis-retinoic	
XL765SAR245409	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
gemcitabineirinotecanleucovorin5-fluorouraciloxaliplatin	
E7974	
Dovitinib	
PF00562271	
PF00562271	
DPX-0907tumor-specificHLA-A2-restrictedpeptidepolynucleotideliposomeMontanideISA51	
IHL-305irinotecanliposome	
EPO906epothilone	
Dinaciclib	
Dinaciclib	
SV-BR-1-GM	
DPX-Survivac	
DPX-Survivac	
EribulinKetoconazole	
GSK1120212everolimus	
FCN-437	
Linifanib	
GefitinibBKM120	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
AV-299	
GSK3745417	
CopanlisibAliqopaBAY80-6946	
forodesinehydrochloride	
E7090	
E7090	
E7090	
E7090	
AvelumabMSB0010718C	
AxitinibAG-013736	
paclitaxelcarboplatin	
XMT-1522	
Tergenpumatucel-L	
Indoximod	
BMS-599626	
BMS-599626	
BMS-599626	
BMS-599626	
SGT-53	
PF-00299804	
TG01	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
131I-MIP-1095	
131I-MIP-1095	
MEDI0562	
MEDI0562	
NPI-2358	
NPI-2358	
Porfimersodium	
Escalation	
Escalation	
Escalation	
Escalation	
Escalation	
Child-Pugh	
Child-Pugh	
NSCLC	
PledOxµmol/kg	
PledOxµmol/kg	
PledOxµmol/kg	
DNIB0600A	
ARGX-111	
Sym021	
Sym021	
Sym021	
Sym021	
Sym022	
Sym022	
Sym022	
Sym022	
Sym023	
DS-8895a	
MBP-426	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
Photofrinporfimersodiumphotodynamictherapy	
ARRY-334543EGFR/ErbB2inhibitor	
IMC-CS4	
Brivanib	
Brivanib	
JNJ-26483327	
E7050	
E7050	
SNDX-6352	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
LCL161	
LCL161	
LCL161	
LCL161	
SGT-94	
E7050	
E7050	
RegorafenibBAY73-4506	
PF-00299804	
AK-104	
Eribulin-LF	
ID-LV305	
Trifluridine/tipiracilhydrochloride	
Ixabepilonemg/m^2Carboplatinmg/min/mL	
Ixabepilonemg/m^2Carboplatinmg/min/mL	
AB928	
AB928	
AB928	
AB928	
AB122	
AB122	
AB122	
AB122	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
DasatinibBMS-354825	
CetuximabErbituxC225	
MEDI0639	
MEDI0639	
MEDI0639	
IMC-3C5	
cetuximablapatinib	
Epacadostat	
LY573636	
LY573636	
LY573636	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
XL820	
CS1002	
RAD001BEZ235	
AZD1152	
AZD1152	
AZD1152	
AZD1152	
vorinostatSuberoylanilideHydroxamicSAHA	
ISU104	
IndiumIMP-205xm734	
Merestinib	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
MLN9708	
MLN9708	
MLN9708	
Nivolumab/Lirilumab	
Pexa-Vec	
E7130	
CMD-193	
CMD-193	
AVID200	
GDC-0994	
GDC-0994	
LY2584702	
LY2584702	
LY2584702	
LY2584702	
LY2584702	
LE-DT	
Pimasertib	
Pimasertib	
Pimasertib	
bsi-201topotecan	
bsi-201temozolomide	
bsi-201gemcitabine	
bsi-201carboplatin/paclitaxel	
SunitinibMalate	
MEGF0444A	
TAK-441	
TAK-441	
TAK-441	
AnlotinibPemetrexedCarboplatin	
ASONEPsonepcizumab/LT1009	
IT-pIL12-EP	
SodiumStibogluconate	
CVA21	
GO-203-2c	
GO-203-2c	
GO-203-2c	
MORAb-202	
AneustatOMN54	
AZD2461	
AZD2461	
AZD2461	
TalimogeneLaherparepvec	
decitabinegenistein	
OPB-111077	
SLC-391	
ZD4054Zibotentan	
INCB024360	
IMGN388	
FOLFOX	
FOLFOX	
MFGR1877S	
HLX10	
-Fluzoparib	
Volitinib	
PBF-999	
ADG106	
Chiauranib	
CapecitabineSorafenib	
CEND-1	
MEDI1873	
MEDI1873	
TAK-164	
ThermoDox	
Oprozomib	
CetuximabErlotinib	
cilengitideradiochemotherapy	
TAK-788	
Pegzilarginase	
Pegzilarginase	
Pegzilarginase	
Zoledronic	
apalutamide	GABA A Antagonists|Anti-androgens|ANTINEOPLASTIC,OTHER|Androgen Receptor Antagonists
CEP-9722	
CEP-9722	
CEP-9722	
CEP-9722	
CEP-9722	
capecitabineganetespib	
bevacizumabAvastin	
Prolantaprolactin	
HLX07	
5-HT3inhibitor	
bevacizumabAvastin	
EC1456EC20	
EGFRIL12	
PDR001	
PDR001	
PDR001	
PDR001	
NG-350A	
PLX3397	
PLX3397	
PLX3397	
V930	
V932	
Quisinostat	
topotecanhydrochloride	
GDC-0941	
GDC-0941	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
GDC-0425	
GDC-0425	
GDC-0425	
Pegilodecakin	
Pegilodecakin	
Pegilodecakin	
PaclitaxelDocetaxelCarboplatinCisplatin	
FOLFOXOxaliplatin/Leucovorin/5-Fluorouracil	
gemcitabine/nab-paclitaxel	
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
Gemcitabine/carboplatin	
Gevokizumab	
FOLFOX6	
Cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
Cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
NG-641	
EC1169	
SNX-5422	
SNX-5422	
SNX-5422	
tucotuzumabcelmoleukin	
GSK2849330	
AdV-tk	
Selinexor	
Folinic	
OMP-131R10	
OMP-131R10	
AZD5153	
AZD5153	
AZD5153	
AZD5153	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
PanobinostatLBH589	
BYL719	
BYL719	
BYL719	
BYL719	
MEDI9447	
MEDI9447MEDI4736	
CC-223erlotinib	
CC-223azacitidine	
CHR-2845	
AbGn-107	
GDC-0349	
GDC-0349	
GDC-0349	
MEGF0444A	
MTL-CEBPA	
MK2206	
MK2206	
MK2206	
MK2206	
MK2206	
MK2206	
MK2206	
MK2206	
MK2206	
MK2206	
EribulinMesylate	
MK-2206	
MK-2206	
MK-2206	
MK-2206	
MK-2206	
AZD6244	
AZD6244	
BXQ-350	
PHA-848125AC	
LDE225	
LDE225	
Mitomycin	ANTINEOPLASTIC ANTIBIOTICS|ANTIGLAUCOMA,OTHER|Other cytotoxic antibiotics|Alkylating Activity|Nucleic Acid Synthesis Inhibitors|Alkylating Drug
EpacadostatINCB024360	
KU-0059436AZD2281PARPinhibitor	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
IPI-504docetaxel	
SCB01A	
MM-398	
5-fluorouracile5-FU	
PCK3145	
PCK3145	
LFA102	
lurbinectedinPM01183	
TAS-102	
TAS-102	
TAS-102	
TAS-102	
TAS-102	
TAS-102	
TAS-102	
TAS-102	
TAS-102	
Tucatinib	
Tucatinib	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
AromataseInhibitor	
avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
OMBRABULINAVE8062	
111In-CS-1008CS-1008	
larotaxel	
larotaxel	
