cleaned_up_drug,class_drug_info,class_umls
Fluorouracil,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antineoplastic Agents|Immunologic Factors|Noxae",
LY3023414,,
Oshadi,,
Pioglitazone,Hypoglycemic Agents,
Rosuvastatin,Hydroxymethylglutaryl-CoA Reductase Inhibitors|Anticholesteremic Agents|Antimetabolites|Enzyme Inhibitors|Hypolipidemic Agents|Lipid Regulating Agents,
Trabectedin,"Antineoplastic Agents|Alkylating Agents|Antineoplastic Agents, Alkylating|Noxae",
APR-246,,
KN026,,
ABI-011,,
Denenicokin,,
RX108,,
Perifosine,,
Capecitabine,"Antineoplastic Agents|Antimetabolites|Antimetabolites, Antineoplastic|Noxae",
Apatinib,,
rivoceranib,,
CEP-37440,,
BMS-754807,,
AVB-620,,
Digoxin,Anti-Arrhythmia Agents|Cardiotonic Agents|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Mutation Data|Natural Product|Reproductive Effect|Cardiovascular Agents|Protective Agents,
DN-101,,
DN-101,Calcium Channel Agonists|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Bone Density Conservation Agents|Cardiovascular Agents|Growth Substances|Membrane Transport Modulators|Micronutrients|Vasoconstrictor Agents|Vitamins|Calcium-Regulating Hormones and Agents,
MVA-BN-PRO,,
Nanoparticle,,
Phenelzine,Antidepressive Agents|Drug / Therapeutic Agent|Human Data|Monoamine Oxidase Inhibitors|Mutation Data|Reproductive Effect|Central Nervous System Agents|Enzyme Inhibitors|Psychotropic Drugs,
neratinib,Antineoplastic Agents,
E7974,,
PSA-Activated,,
PSA-PAH1,,
Lapatinib,Tyrosine Kinase Inhibitors|Antineoplastic Agents|Dual EGFR/erbB2 Inhibitors|Enzyme Inhibitors|Protein Kinase Inhibitors,
anti-cancer,,
KU-0059436,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
PARP,,
SGN-LIV1A,,
Epacadostat,,
INCB050465,,
JNJ-212082,,
Pemigatinib,,
LJM716,,
TT-00420,,
OMP-313M32,,
BAY1251152,,
Mobilan,"Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Drug / Therapeutic Agent|Gout Suppressants|Human Data|Mutation Data|Reproductive Effect|Tocolytic Agents|Tumor Data|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Antirheumatic Agents|Cardiovascular Agents|Enzyme Inhibitors|Peripheral Nervous System Agents|Reproductive Control Agents|Sensory System Agents",
M-VM3,,
deruxtecan,,
cisplatin,Antineoplastic Agents|Cross-Linking Reagents|Drug / Therapeutic Agent|Human Data|Mutation Data|Radiation-Sensitizing Agents|Reproductive Effect|Tumor Data|Indicators and Reagents,
triapine,,
FG-3019,,
MVA-BN-HER2,,
JNJ-56021927,,
IMAB027,,
Gedatolisib,Enzyme Inhibitors|Protein Kinase Inhibitors,
Palbociclib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
AZD3514,,
AUY922,,
BYL719,,
ALECSAT,,
GDC-0077,,
Metformin,Drug / Therapeutic Agent|Hypoglycemic Agents|Mutation Data|Reproductive Effect,
ARV-110,,
RAD001,Immunosuppressant|Immunologic Factors|Immunosuppressive Agents|Antineoplastic Agents,
BP31510,Drug / Therapeutic Agent|Reproductive Effect|Growth Substances|Micronutrients|Vitamins,
monotherapy,,
Gefitinib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
PX-12,,
CTT1403,,
CTT1057,,
68Ga-PSMA-11,,
GM102,,
XMT-1107,,
Farletuzumab,Antineoplastic Agents,
Minnelide,,
LY2495655,,
Abraxane,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
PSB205,,
GSK2636771,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
AZD2171,Antineoplastic Agents|Protein Kinase Inhibitors|Enzyme Inhibitors,
ABBV-011,,
ABBV-181,,
ARX788,,
Poziotinib,,
T-DM1,"Antineoplastic Agents|Antimitotic Agents|Mitosis Modulators|Tubulin Modulators|Antineoplastic Agents, Immunological",
MEDI3617,,
JTX-4014,,
PF-05212384,Enzyme Inhibitors|Protein Kinase Inhibitors,
gedatolisib,Enzyme Inhibitors|Protein Kinase Inhibitors,
Dacomitinib,,"Protein kinase inhibitors|ANTINEOPLASTIC,OTHER"
JNJ-64041809,,
M8891,,
GDC-9545,,
Ipatasertib,,
hMAb,,
BIWA,,
unlabelled,,
INCB024360,,
E7080,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
KHK2375,,
TK006,,
SAR439859,,
EC90,,
KLH-FITC,,
GPI-0100,,
EC17,,
Folate-FITC,,
Interferon-alpha,,
Interferon-alpha,Drug / Therapeutic Agent|Human Data,
LEE011,Antineoplastic Agents,
Everolimus,Immunosuppressant|Immunologic Factors|Immunosuppressive Agents|Antineoplastic Agents,
EPC2407,,
crinobulin,,
Tykerb,Tyrosine Kinase Inhibitors|Antineoplastic Agents|Dual EGFR/erbB2 Inhibitors|Enzyme Inhibitors|Protein Kinase Inhibitors,"Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|HER2/Neu/cerbB2 Antagonists|Protein Kinase Inhibitors|Kinase Inhibitor"
Tykerb,,"Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|HER2/Neu/cerbB2 Antagonists|Protein Kinase Inhibitors|Kinase Inhibitor"
Tykerb,Antineoplastic Agents|Protein Kinase Inhibitors|Enzyme Inhibitors,"Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|HER2/Neu/cerbB2 Antagonists|Protein Kinase Inhibitors|Kinase Inhibitor"
Hemay022,,
Pegfilgrastim,Antineoplastic Agents|Pegylated Protein,
"CP-751,871",,
ALN-VSP02,,
MK-8353,,
GEM3PSCA,,
Anthracycline,,
M3541,,
DHES0815A,,
D-0502,,
palbociclib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
HuC242-DM4,,
MM-111,,
AK112,,
MEDI-573,,
P1446A-05,,
Pazopanib,,"Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors"
GW786034,,
Epirubicin,"Drug / Therapeutic Agent|Mutation Data|Antibiotics, Antineoplastic|Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
BCD-115,,
ABT-414,,
Pasireotide,"Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists",
IMC-11F8,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
omaveloxolone,,
Avapritinib,,
CUDC-101,,
BAY94-9392,,
Aromatase,,
Inhibitor,,
Glucocorticoid,,
Olaratumab,Antineoplastic Agents,
Vincristine,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
Ifosfamide,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
Immunotherapeutic,,
SB719125,,
AZD9833,,
Imetelstat,Enzyme Inhibitors,
BVAC-B,,
Resiniferatoxin,,
PDR001,,
OPB-51602,,
NOX66,,
AS703569/gemcitabine,,
Patupilone,Antineoplastic Agents|Tubulin Modulators|Antimitotic Agents|Mitosis Modulators,
mFOLFOX,,
Emtansine,,
LY2940680,,
LHRH,Drug / Therapeutic Agent|Hormone|Human Data|Mutation Data|Reproductive Effect|TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
GDC-0927,,
TTI-621,,
GSK525762,,
Abiraterone,,Other hormone antagonists and related agents|Cytochrome P450 2C8 Inhibitors|Cytochrome P450 17A1 Inhibitors|ANTINEOPLASTIC HORMONES|Cytochrome P450 2D6 Inhibitors|Cytochrome P450 17A1 Inhibitor
Venetoclax,Antineoplastic Agents,
ethinyl,,
estradiol/levonorgestrel,,
LY2835219,,
Tamoxifen,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Estrogen Antagonists|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Bone Density Conservation Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Selective Estrogen Receptor Modulators",
Pertuzumab,"Monoclonal Antibody|HER-2-Targeting Antibody|Antineoplastic Agents|Antineoplastic Agents, Immunological",
Loperamide,Antidiarrheals|Drug / Therapeutic Agent|Gastrointestinal Agents,
HQP1351,,
OBP-301,,
VM206DNA,,
VM206Ad,,
ASP1951,,
LY3007113,,
I-8H9,,
KX2-361,,
BAY2010112,,
ABBV-621,,
FOLFIRI,Antineoplastic Agents,
U3-1402,,
INCB001158,Enzyme Inhibitors,
LY3295668,,
Erbumine,Human Data,
Midazolam,"Adjuvants, Anesthesia|Anesthetics, Intravenous|Drug / Therapeutic Agent|GABA Modulators|Human Data|Mutation Data|Reproductive Effect|Anesthetics|Anesthetics, General|Anti-Anxiety Agents|Central Nervous System Agents|Central Nervous System Depressants|GABA Agents|Hypnotics and Sedatives|Neurotransmitter Agents|Psychotropic Drugs|Tranquilizing Agents",
LY3164530,,
ALIMTA,"Antineoplastic Agents|Enzyme Inhibitors|Antimetabolites|Antimetabolites, Antineoplastic|Folic Acid Antagonists|Noxae|Nucleic Acid Synthesis Inhibitors","Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues"
ALIMTA,,"Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues"
folic,,
huMNC2-CAR44,,
RP2D,,
l/Phase,,
CNTO,,
E7046,,
capecitabine,"Antineoplastic Agents|Antimetabolites|Antimetabolites, Antineoplastic|Noxae",
folinic,,
acid/5-FU/oxaliplatin,,
mFOLFOX-6,,
BOS172722,,
bivatuzumab,Monoclonal Antibody|Immunomodulator,
mertansine,,
MAG-TN3,,
TTAC-0001,,
123-I-MIP-1072,,
111-In,,
capromab,,
pendetide,,
Combretastatin,"Antineoplastic Agents, Phytogenic|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
Diphosphate,,
OXi4503,,
ABI-007,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
hydrobromide,,
Theophylline,Bronchodilator Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Phosphodiesterase Inhibitors|Reproductive Effect|Tumor Data|Vasodilator Agents|Anti-Asthmatic Agents|Autonomic Agents|Cardiovascular Agents|Enzyme Inhibitors|Peripheral Nervous System Agents|Respiratory System Agents|Neurotransmitter Agents|Purinergic Agents|Purinergic Antagonists|Purinergic P1 Receptor Antagonists,
Theophylline,Anti-Asthmatic Agents|Autonomic Agents|Bronchodilator Agents|Cardiovascular Agents|Enzyme Inhibitors|Neurotransmitter Agents|Peripheral Nervous System Agents|Phosphodiesterase Inhibitors|Purinergic Agents|Purinergic Antagonists|Purinergic P1 Receptor Antagonists|Respiratory System Agents|Vasodilator Agents,
Niraparib,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
LY2090314,,
pemetrexed,"Antineoplastic Agents|Enzyme Inhibitors|Antimetabolites|Antimetabolites, Antineoplastic|Folic Acid Antagonists|Noxae|Nucleic Acid Synthesis Inhibitors","Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues"
pemetrexed,,"Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues"
ZD6474,Antineoplastic,
Zactima,Antineoplastic,
LY2157299,,
RMC-4630,,
DS-1123,,
EPO906,Antineoplastic Agents|Tubulin Modulators|Antimitotic Agents|Mitosis Modulators,
patupilone,Antineoplastic Agents|Tubulin Modulators|Antimitotic Agents|Mitosis Modulators,
trastuzumab-MCC-DM1,"Antineoplastic Agents|Antimitotic Agents|Mitosis Modulators|Tubulin Modulators|Antineoplastic Agents, Immunological",
mRNA-4157,,
losartan,Anti-Arrhythmia Agents|Antihypertensive Agents|Drug / Therapeutic Agent|Human Data|Angiotensin II Type 1 Receptor Blockers|Cardiovascular Agents|Angiotensin Receptor Antagonists,
dextromethorphan,Antitussive Agents|Drug / Therapeutic Agent|Excitatory Amino Acid Antagonists|Human Data|Central Nervous System Agents|Excitatory Amino Acid Agents|Neurotransmitter Agents|Respiratory System Agents,
rosuvastatin,Hydroxymethylglutaryl-CoA Reductase Inhibitors|Anticholesteremic Agents|Antimetabolites|Enzyme Inhibitors|Hypolipidemic Agents|Lipid Regulating Agents,
bupropion,"Drug / Therapeutic Agent|Antidepressive Agents|Antidepressive Agents, Second-Generation|Central Nervous System Agents|Dopamine Agents|Dopamine Uptake Inhibitors|Neurotransmitter Agents|Neurotransmitter Uptake Inhibitors|Psychotropic Drugs|Cytochrome P-450 CYP2D6 Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Enzyme Inhibitors|Membrane Transport Modulators|Metabolic Side Effects of Drugs and Substances|Smoking Cessation Agents",
encorafenib,,"Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|BRAF Serine/Threonine Kinase Inhibitors"
binimetinib,,"Protein kinase inhibitors|Protein Kinase Inhibitors|ANTINEOPLASTIC,OTHER"
modafinil,Central Nervous System Stimulants|Central Nervous System Agents|Neuroprotective Agents|Protective Agents|Cytochrome P-450 CYP3A Inducers|Wakefulness-Promoting Agents|Metabolic Side Effects of Drugs and Substances,
Regorafenib,Antineoplastic Agents,
Stivarga,Antineoplastic Agents,
Stivarga,,
BAY73-4506,Antineoplastic Agents,
BAY73-4506,,
Cixutumumab,,
LSZ102,,
Rovalpituzumab,,
tesirine,,
AZD8835,,
Danvatirsen,,
Oleclumab,,
dalotuzumab,,
MK0646,,
emtansine,,
MGD013,,
margetuximab,,
anticancer,,
IC01,,
LY3022855,,
PTC299,,
GSK2110183,,
AZD8931,,
MLN1117,Enzyme Inhibitors,
ASP1948,,
Lumretuzumab,,
SPI-2012,,
GSK1795091,,
GSK3174998,,
GSK3359609,,
BGJ398,,
pyrotinib,,
DOXIL/CAELYX,,
gemcitabine,"Anti-Infective Agents|Antimetabolites|Antimetabolites, Antineoplastic|Antineoplastic Agents|Antiviral Agents|Enzyme Inhibitors|Immunologic Factors|Immunosuppressive Agents|Noxae|Radiation-Sensitizing Agents",
Sulfatinib,,
MGCD516,,
TQB2450,,
Anlotinib,,
Hydrochioride,,
RAD1901,,
E7820,,
cetuximab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
PRO95780,,
AG-221,,
rhPSMA-7.3,,
ENMD-2076,,
Tucatinib,,
anti-HER2,,
injection.R,,
CVA21,,
Mitomycin,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Nucleic Acid Synthesis Inhibitors|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Cross-Linking Reagents|Enzyme Inhibitors|Indicators and Reagents|Noxae|TSCA Flag S (Substance is Identified in a Final Significant New Use Rule)","ANTINEOPLASTIC ANTIBIOTICS|ANTIGLAUCOMA,OTHER|Other cytotoxic antibiotics|Alkylating Activity|Nucleic Acid Synthesis Inhibitors|Alkylating Drug"
Mitomycin,,"ANTINEOPLASTIC ANTIBIOTICS|ANTIGLAUCOMA,OTHER|Other cytotoxic antibiotics|Alkylating Activity|Nucleic Acid Synthesis Inhibitors|Alkylating Drug"
TAS-102,,
CPT-11,"Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Antineoplastic Agents|Antineoplastic Agents, Phytogenic|Enzyme Inhibitors|Radiation-Sensitizing Agents|Topoisomerase I Inhibitors|Topoisomerase Inhibitors",
CBL0137,,
RAD140,,
LBH589,Antineoplastic Agents|Enzyme Inhibitors|Histone Deacetylase Inhibitors,
RG1507,,
GDC-0980,,
Bavituximab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
everolimus,Immunosuppressant|Immunologic Factors|Immunosuppressive Agents|Antineoplastic Agents,
panitumumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
ABX-EGF,,
Panitumumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
spartalizumab,,
LAG525,,
NIR178,,
capmatinib,,
MCS110,,
canakinumab,,Interleukin 1 Receptor Antagonists|Interleukin inhibitors|IMMUNE SUPPRESSANTS
AZD1775,,
Trifluridine,Antimetabolites|Antiviral Agents|Mutation Data|Anti-Infective Agents|Noxae,
Tipiracil,,
KPG-121,,
escalation,,
Taselisib,,
Nexavar,Protein Kinase Inhibitors|Antineoplastic Agents|Enzyme Inhibitors,
Nexavar,,
BAY43-9006,Protein Kinase Inhibitors|Antineoplastic Agents|Enzyme Inhibitors,
TTC-352,,
Fluzoparib,,
Buparlisib,,
POL6326,,
ONO-4538,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
AZD3759,,
AZD9291,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
ABBV-155,,
Cediranib,Antineoplastic Agents|Protein Kinase Inhibitors|Enzyme Inhibitors,
ALT-803,,
Humanized,,
Bispecific,,
Antibody,,
MBS301,,
panobinostat,Antineoplastic Agents|Enzyme Inhibitors|Histone Deacetylase Inhibitors,
XELOX,Antineoplastic Agents,
vatalanib,Protein Kinase Inhibitors|Enzyme Inhibitors,
vorinostat,Antitumor Agent|Histone Deacetylase Inhibitor|Antineoplastic Agents|Enzyme Inhibitors|Anticarcinogenic Agents|Histone Deacetylase Inhibitors,
Platinum-based,,
LY01005,,
Zoladex,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Human Data|LHRH Agonist|Reproductive Effect|Antineoplastic Agents",
CriPec®,,
docetaxel,Antineoplastic Agents|Drug / Therapeutic Agent|Antimitotic Agents|Mitosis Modulators|Tubulin Modulators,
docetaxel,Antineoplastic Agents|Tubulin Modulators|Mitosis Modulators|Antimitotic Agents,
Rucaparib,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
Etoposide,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|DNA Topoisomerase II Inhibitors|Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
OTS167IV,,
Ixabepilone,Antineoplastic|Antineoplastic Agents,
ZEN003694,,
oxaliplatin,Drug / Therapeutic Agent|Antineoplastic|Antineoplastic Agents,
oxaliplatin,Antineoplastic Agents,
GDC-0941,,
L-DOS47,,
ASP9801,,
OMP-336B11,,
MTIG7192A,,
MEK162,,
degarelix,GnRH Antagonists|Peptides|Gonadotropin-Releasing Hormone Antagonist|Treatment of Prostate Cancer,
INO-5150,,
electroporation,,
CELLECTRA®-5P,,
INO-9012,,
AMN107,Antineoplastic|Antineoplastic Agents,
STI571,Antineoplastic|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
Antroquinonol,,
GSK2141795,,
EP2101,,
Elesclomol,,
FOR46,,
RGX-104,,
Pictilisib,,
dulanermin,,
pLADD,,
AZD5363,,
Gimatecan®,,
ST-1481,Antineoplastic,
ST-1481,,
XMT-1536,,
SPARC1613,,
Reference1613,,
Sutent,Angiogenesis Inhibitors|Antineoplastic Agents|Growth Substances|Angiogenesis Modulating Agents,
Sutent,Protein Kinase Inhibitors|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors|Growth Substances|Enzyme Inhibitors,
SHR9549,,
Ficlatuzumab,,
PF-06755992,,
PF-06755990,,
Tremelimumab,Antineoplastic Agents,
PF-06801591,,
OB318,,
AGS67E,,
NEV801,,
GW572016,Tyrosine Kinase Inhibitors|Antineoplastic Agents|Dual EGFR/erbB2 Inhibitors|Enzyme Inhibitors|Protein Kinase Inhibitors,
ALT-836,,
HPN424,,
RUTI®,,
P276-00,,
SYN004,,
VXM01,,
INO-3106,,
SU011248,Angiogenesis Inhibitors|Antineoplastic Agents|Growth Substances|Angiogenesis Modulating Agents,
SU011248,Protein Kinase Inhibitors|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors|Growth Substances|Enzyme Inhibitors,
axitinib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
MUC1-gene-DC-CTL,,
MUC1-peptide-DC-CTL,,
GX-188E,,
NIZ985,,
Cirmtuzumab,,
Custirsen,,
ANG1005,,
MEHD7945A,,
Cobimetinib,Antineoplastic Agents,
ridaforolimus,,
MK-0752,,
MK-2206,,
LErafAON,,
BN83495,,
MCLA-145,,
JNJ-26481585,,
ABBV-399,,
PSMA,,
veliparib,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
P16-093,,
STA-9090,,
ganetespib,,
LErafAON-ETU,,
Dasatinib,Antineoplastic|Enzyme Inhibitors|Protein Kinase Inhibitors,
Dasatinib,Protein Kinase Inhibitors|Enzyme Inhibitors|Antineoplastic Agents,
DMUC4064A,,
mg/m^2,,
Glufosfamide,,
LY3434172,,
KO-947,,
SCT200,,
AGEN1181,,
Vorinostat,Antitumor Agent|Histone Deacetylase Inhibitor|Antineoplastic Agents|Enzyme Inhibitors|Anticarcinogenic Agents|Histone Deacetylase Inhibitors,
